,,Rank,School,Games,Wins,Losses,Win-Loss%,SRS,SOS,Conf Wins,Conf Losses,Home Wins,Home Losses,Away Wins,Away Losses,Points For,Points Against,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,NCAA,Conf Champ,Seed
2001,32,131,Kentucky,34,24,10,.706,20.27,11.06,12,4,11,1,6,6,2713,2400,110.2,.366,.345,.563,51.9,54.6,9.3,10.8,.541,17.6,39.2,.240,True,True,2
2001,33,154,Maryland,36,25,11,.694,23.82,10.99,10,6,11,3,6,4,3067,2605,113.6,.387,.233,.560,53.2,61.8,11.9,14.3,.529,16.0,40.7,.269,True,False,3
2001,34,161,Michigan State,33,28,5,.848,25.12,9.54,13,3,17,0,7,3,2553,2039,115.3,.351,.231,.559,61.1,60.5,9.5,11.1,.526,16.5,47.1,.252,True,False,1
2001,35,168,Mississippi,35,27,8,.771,15.05,9.20,11,5,15,1,6,4,2496,2262,102.3,.423,.335,.531,49.9,57.8,11.7,8.4,.499,17.5,33.7,.277,True,False,3
2001,36,171,Missouri,33,20,13,.606,10.76,9.19,9,7,13,1,3,8,2493,2402,103.9,.368,.364,.527,49.5,49.4,10.8,8.9,.490,17.4,36.2,.258,True,False,9
2001,37,172,Monmouth,31,21,10,.677,-3.82,-8.85,15,5,10,2,8,7,2180,2024,100.8,.407,.343,.549,48.7,58.1,12.9,10.5,.515,19.2,29.0,.281,True,True,16
2001,38,195,North Carolina,33,26,7,.788,19.95,11.77,13,3,12,2,8,3,2611,2341,106.5,.403,.263,.556,52.6,61.0,10.0,12.7,.527,18.1,35.2,.270,True,False,2
2001,39,192,North Carolina-Greensboro,31,19,12,.613,-5.02,-5.85,10,6,10,1,6,10,2282,2230,103.2,.412,.276,.548,47.8,53.6,12.3,9.4,.497,18.6,32.4,.317,True,True,16
2001,40,201,Northwestern State,32,19,13,.594,-11.10,-7.82,11,9,8,3,8,9,2292,2397,95.1,.473,.297,.504,48.0,51.0,12.8,10.0,.461,19.1,32.5,.313,True,True,16
2001,41,203,Notre Dame,30,20,10,.667,14.35,5.68,11,5,13,4,6,4,2338,2078,108.0,.405,.323,.556,51.1,64.7,9.2,12.9,.524,17.1,34.7,.279,True,False,6
2001,42,205,Ohio State,31,20,11,.645,15.68,8.17,11,5,14,3,5,4,2206,1973,105.8,.424,.269,.558,53.4,61.0,7.7,13.8,.522,19.2,37.5,.296,True,False,5
2001,43,208,Oklahoma,33,26,7,.788,15.54,5.48,12,4,13,1,5,5,2454,2122,109.0,.347,.331,.547,51.9,51.7,12.5,7.9,.509,15.8,35.9,.257,True,True,4
2001,44,207,Oklahoma State,30,20,10,.667,10.81,4.70,10,6,15,1,4,7,2129,1936,99.6,.446,.239,.532,52.3,52.9,11.3,9.8,.503,20.2,34.8,.282,True,False,11
