"","School","G","W","L","W-L%","SRS","SOS","Tm.","Opp.","Pace","ORtg","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%","eFG%","TOV%","ORB%","FT/FGA","year","NCAABirth","END"
"741","University of California ","32","23","9",".719","13.08","7.45","2310","2130","","",".362",".322",".533","48.8","58.3","","7.6",".502","16.3","",".245",2002,"NCAA","University of California "
"745","Central Connecticut State ","32","27","5",".844","-1.10","-9.29","2280","2018","","",".392",".223",".541","54.9","52.3","","5.8",".497","18.5","",".289",2002,"NCAA","Central Connecticut State "
"749","Charlotte ","30","18","12",".600","13.61","8.68","2205","2057","","",".356",".391",".545","52.2","54.7","","4.1",".511","16.8","",".252",2002,"NCAA","Charlotte "
"752","Cincinnati ","35","31","4",".886","24.38","6.58","2738","2115","","",".405",".279",".554","54.0","49.6","","7.6",".517","14.4","",".287",2002,"NCAA","Cincinnati "
"764","Connecticut ","34","27","7",".794","16.02","7.43","2646","2354","","",".391",".194",".555","53.0","50.8","","10.8",".521","18.6","",".272",2002,"NCAA","Connecticut "
"767","Creighton ","32","23","9",".719","8.38","1.38","2421","2197","","",".369",".338",".563","52.8","57.5","","7.2",".527","17.6","",".270",2002,"NCAA","Creighton "
"769","Davidson ","31","21","10",".677","0.60","0.71","2192","2046","","",".323",".397",".534","51.2","62.4","","6.4",".506","19.2","",".220",2002,"NCAA","Davidson "
"778","Duke ","35","31","4",".886","28.91","9.16","3112","2421","","",".410",".376",".590","50.7","57.2","","5.3",".563","16.0","",".283",2002,"NCAA","Duke "
"793","Florida Atlantic ","31","19","12",".613","-3.95","-5.33","2303","2235","","",".304",".262",".500","50.9","56.2","","6.0",".471","17.1","",".202",2002,"NCAA","Florida Atlantic "
"796","Florida ","31","22","9",".710","22.27","8.37","2495","2064","","",".362",".346",".561","52.9","58.2","","7.9",".531","17.2","",".252",2002,"NCAA","Florida "
